127.0.0.1 - - [24/Feb/2023:09:28:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 16354
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/style.css HTTP/1.1" 200 17604
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/owl.carousel.min.css HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/responsive.css HTTP/1.1" 200 14919
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/jquery.min.js HTTP/1.1" 200 87088
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 42839
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/popper.min.js HTTP/1.1" 200 19190
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/bootstrap.bundle.min.js HTTP/1.1" 200 70808
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/jquery-3.0.0.min.js HTTP/1.1" 200 11324
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/plugin.js HTTP/1.1" 200 918708
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45479
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/custom.js HTTP/1.1" 200 9867
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/logo.png HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/img-1.png HTTP/1.1" 200 229150
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/img-2.png HTTP/1.1" 200 227622
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/img-3.png HTTP/1.1" 200 181550
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/play-icon.png HTTP/1.1" 200 5304
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/about-img.png HTTP/1.1" 200 1039928
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/client-img.png HTTP/1.1" 200 56328
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/quick-icon.png HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/call-icon.png HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/mail-icon.png HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/fb-icon.png HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/twitter-icon.png HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/linkedin-icon.png HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/instagram-icon.png HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [24/Feb/2023:09:28:18 +0530] "GET /MyProject/images/banner-bg.png HTTP/1.1" 200 2333596
