127.0.0.1 - - [15/Mar/2023:08:52:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:48 +0530] "GET /MyProject/index.jsp HTTP/1.1" 200 8025
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:48 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:49 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:49 +0530] "GET /MyProject/images/fevicon.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:52 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 6490
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:52 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:52 +0530] "GET /MyProject/js/owl.carousel.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:52 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:52:52 +0530] "GET /MyProject/login.jsp HTTP/1.1" 200 6490
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:00 +0530] "POST /MyProject/UserController HTTP/1.1" 200 8233
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:00 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:00 +0530] "GET /MyProject/images/header-bg.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/cart.jsp HTTP/1.1" 200 13734
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/css/owl.theme.default.min.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/img/fashion/fashion-header-bg-8.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/jquery.smartmenus.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/jquery.smartmenus.bootstrap.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/sequence-theme.modern-slide-in.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/jquery.simpleGallery.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/nouislider.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/jquery.simpleLens.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/sequence.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [15/Mar/2023:08:53:07 +0530] "GET /MyProject/js/slick.js HTTP/1.1" 404 780
